address,allocation
0x2b3cc6c51d690e6ba1a179ff1c8ef96a8255ad0a,250123
0x386467f1f3ddbe832448650418311a479eecfc57,183249
0x00cdf17d70fc3e13618934bb4c5518fc504e73b3,128075
0xa8d3a0185aedb04a3896957fc18b9fcec10be7e4,121750
0xdb9f5089f3bd4b5aa43bc125ede01eb39f83fb3f,121750
0x7931dded645b4668013529d9f431d9b6874b3e95,99750
0xb3a81256e7e2846d346e9a277c65ba96f4d6b110,96002
0x5214e5d52a4fdadbb202e316b27ec7d3d39b2e9b,87650
0xfb6f3f88d11206439db6e6d5c5277e53b866d002,73850
0x00cd9fad11d5b2118a3dd32d5d43fdb33bde9e85,68863
0x17383fca2a55f2aebd6073e69f16ea713addb75b,58092
0x20b899ffc06d08966aa0039dd4fe52ba917757bb,49950
0x9954e3b5b06217296d5e811a16d045a08f2a2f17,49950
0xed9e8ba5c81162e4c4bd7be9489851b3a9846bc6,35878
0xfcc4514f41b0394efe6021d5516bf74c6f554d1a,31653
0x44d00eefe12da4ce191521e509c3158f25fd99a5,31410
0x62501b715270a47c3dba15f47db2b385a47d3425,30909
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,30377
0xae7758ba4157d0b6fd00c405169ee62678acc58a,29870
0xdb189b4de94180a0eef394d585519ee3dc100380,29630
0xb1b35c06dd13fb2ec826fc67f1856f5906b61209,28001
0x568f739c811eac61aa4ea2390801574c3914eb02,27030
0xac096ee06e1d46d36abef6a73555f9d2b8092930,26722
0x4e5d1998abc631e66a1cf0b54670e4c1988faacc,24870
0xcb9b5103e4ce89af4f64916150bff9eecb9faa5c,24850
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,22885
0xa04a565805d4e4bf8e9d91781a5cf8e3ec934992,22250
0xab04c93bb0b77a92dfffa6b945630b6227349b61,22051
0x61b4c5ac588717379531c099118b5439e7938041,18640
0x59e76ca0c8e9353d440e93be2196f585148ef56a,18236
0xd18a828451260f334d56ed98fc8513eba84b8daa,16926
0x3e81a4334a66d844bbbd7caa65594d4d2098a2fc,13555
0xebdaebfd68af8750dbd55edc5118dc5a9dac9cb2,13555
0x7dc04fe87fdcc3f88f9a28bbd23aa06eb03fa41a,12550
0x8156ff84a439833252c4000f66b2cecc11ad1852,12250
0x9ec86208bac948044ba32e4edca9a9025794b9d2,12250
0x9f05d33f54fbd03a95900bd3eef53ef43fe9a2c6,11841
