address,amount
0x007b443909ae005e443fdb12db2666a45d55c8b3,4861258.866
0x5805a0b0754cfb7e5a7477f6fae15e02af39dd9a,1071386.97
0xe46cbfc17a835966f989d530d089453593edc097,822917.4725
0xb1b35c06dd13fb2ec826fc67f1856f5906b61209,750000
0xf108714633ec1c4a8196b17cf0e021226a352fce,300000
0x670397fa67347d228094ac737db29da6b9dfcb22,166344.1994
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,158921.3597
0x7ae634662820ee211b0545882f42f7c191d82fab,141000
0x59e76ca0c8e9353d440e93be2196f585148ef56a,132754.2
0xbc2590c3c0c5bb8c8d93a1409c1b51e3c41f8068,120000
0x609902c8cecab024042a386a164cae6fddfc5fe9,120000
0x2b3cc6c51d690e6ba1a179ff1c8ef96a8255ad0a,75111.9
0x697cae76aec38a2a238aee3001fbe97e235edec4,74700
0xbf00df0f4b20879d317c3bab99fd16ca2402d78c,61500
0x386467f1f3ddbe832448650418311a479eecfc57,55049.7
0x007d6286d0cdd80930e8915ac7fe016d6a3a755e,54075
0x00cdf17d70fc3e13618934bb4c5518fc504e73b3,38497.5
0xdb9f5089f3bd4b5aa43bc125ede01eb39f83fb3f,36600
0xa8d3a0185aedb04a3896957fc18b9fcec10be7e4,36600
0x7931dded645b4668013529d9f431d9b6874b3e95,30000
0xb3a81256e7e2846d346e9a277c65ba96f4d6b110,28875.6
0x5cec35e452844a3ed4aac52674a57b7dcfd33f57,24000
0x5214e5d52a4fdadbb202e316b27ec7d3d39b2e9b,23370
0x00cd9fad11d5b2118a3dd32d5d43fdb33bde9e85,20733.9
0x1b4b8daef2cd4c9ad35866e513ae8682f9fba037,19650
0x17383fca2a55f2aebd6073e69f16ea713addb75b,17502.6
0x9954e3b5b06217296d5e811a16d045a08f2a2f17,15060
0x20b899ffc06d08966aa0039dd4fe52ba917757bb,15060
0x465b35fc5cc1528f8d3f13d6f9262e35dc7e327f,15000.27012
0xa700096e70a2d71a66b06135ae5bf2409db095b9,12675
0xed9e8ba5c81162e4c4bd7be9489851b3a9846bc6,10838.4
0xb7f5468f6151f898b3d5a78241954aaed7cdf6ba,10171.51575
0xdba67a524cd706b5a67ef31289d1b15ce3d12a0a,9835.260547
0xfcc4514f41b0394efe6021d5516bf74c6f554d1a,9570.9
0x44d00eefe12da4ce191521e509c3158f25fd99a5,9498
0x62501b715270a47c3dba15f47db2b385a47d3425,9347.7
0x8270e625153d0223932b5257d41e7116f567c0f1,9337.832252
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,9188.1
0xae7758ba4157d0b6fd00c405169ee62678acc58a,9036
0xdb189b4de94180a0eef394d585519ee3dc100380,8964
0xb6141d9359d574ae942148de9b6d582c8100e888,8947.424206
0x3e7dd7df9c1ffd12b8ecd94a27472bdc4d87ab7e,8666.591255
0xac096ee06e1d46d36abef6a73555f9d2b8092930,8091.6
0x63c48d6dd674ee624a03e142482faf2bbd0749a9,7786.78084
0xcb9b5103e4ce89af4f64916150bff9eecb9faa5c,7530
0x99eee4226067852d5e446c66b4fc2052933d9115,7160.177803
0x13b86a16cb16acf9628aa9c330eec706b6041836,6766.884074
0xa04a565805d4e4bf8e9d91781a5cf8e3ec934992,6750
0x7ae452da65433779d533846ca3828d80417d5579,6424.660823
0xaeee42f12c151e72ed23f9c7995ccadc199ec76a,6375
0x021f4aa7babb2f66811e43bfe1fca21c368ec106,6169.309447
0xab30f11201d6d53215729d45dc05a0966c237922,6034.5
0x86bca76aa81575a2e949da09d105e3f844d35ae0,6000
0x14b7ee3128b7dc445a331f67971953ad9ca48370,5882.838425
0xbf1e36feb9f38240cd321ef90f711822574e363f,5197.933023
0xd18a828451260f334d56ed98fc8513eba84b8daa,5152.667841
0x60f604fc9efed7edea5ca1c3d02afa5c415e78b4,4831.314567
0xaa10dc038b30b1ddb5309b9c9162323a80355cfc,4654.153911
0x7300340fda2eb487b43142b47e3c0921c6ec6939,4215
0x13db4f795dd0d789b0aa8f6683b82d19059090e7,4197.618318
