address,allocation
0xa700096e70a2d71a66b06135ae5bf2409db095b9,42250
0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,26425
0xdba67a524cd706b5a67ef31289d1b15ce3d12a0a,11218
0xf71326a435fd4f8dba89a630d10776f2e96e1a35,7938
0x670397fa67347d228094ac737db29da6b9dfcb22,4481
0xbf1e36feb9f38240cd321ef90f711822574e363f,4426
0x8270E625153d0223932b5257D41e7116f567C0f1,4302
0x3E7dd7DF9C1FfD12B8ecD94A27472BDc4d87AB7E,3025
0xb6141d9359d574ae942148de9b6d582c8100e888,2898
0xb7f5468f6151f898b3d5a78241954aaed7cdf6ba,2301
0xca9ce08222b81ec2e91f41c3040460e299d3dfb2,2118
0xe2dac409e1d44ca89c369fd3ebd34d470e34871f,1712
0x5e813f01ee065dc909061bfe00fefce9df1865ef,1525
0x99eee4226067852d5e446c66b4fc2052933d9115,1490
0xe9734e6aa09ca2a2f1fde9ac0317bc7fac93cad8,1250
0xf6293c7db0b2df55e4b745302a88936274497ef4,1243
0xfcb9d2acd48676ce3663292085fa78963067c91c,1239
0x8d12a197cb00d4747a1fe03395095ce2a5cc6819,1203
0x079c5ca3ed6fc7e67dbe2e84f9a3ec8d3e390529,1022
0x5805a0b0754cfb7e5a7477f6fae15e02af39dd9a,1000
0x7c939086fc11e7f5c28ae3f198a0df899bbdb681,750
0xe245503f8a33ebddd718915132869c9ba9df37a8,750
0xd0d090d70abb6bfe111592b2aac10024d240c3e4,750
0x918cd5867f4103cde9c47edeee23872922ed43a4,744
0xab79fd593d2d810c72913d420a288ad25e4f446f,613
0x1d802f0aa1dae326e55e11c1bc0497f9c43b8d5e,608
0x4342e82b94b128fccbe1bddf454e51336cc5fde2,601
0x797c52840689eeeebe2a89a7963dbb9b958d0ed8,597
0x9df702df7415fcf863ce7b340e43d9e1377836a6,500
0xfa113845230f524650cbcf238b14202921c2f154,500
0xe397c6ef8bfcc71edf879e9025d20de32606c007,500
0xbd125f7c40e252a090871b865aca471f5cb8ee01,500
0x2eea47f2ed59ea9c403221c1cfbe820319e20284,500
0x0cd83135be259b87ccd2a9c9155c70b690932d33,500
0xa6acfb20ab76dcfbcd73e09424cec1ae84eb143e,500
0x5204a7d554af990f45931041ab89e3ba80705047,500
0xe49e66efde17f15a4699267af9485bb7abe60b55,500
0x1b4b8daef2cd4c9ad35866e513ae8682f9fba037,500
0x1f13a53c146be6057a869ac3c4fdc9a78ec74431,500
0x82af6f6edd116fbf357aa5bb7668f58f969f723c,500
0x619ed260d7bc3a9f1a720a5df66be7249bb0b780,500
0xd53bf7bee9e358cd405c3579cd0ed1e1e6ee0aa0,500
0x57d8da429865399afae4258b77e1b140878e2ffc,500
0xb83fec86132812bea679adffe33757516a63e847,500
0x87d59996c0b45c6f15c9c1fb8206417236ad81ac,500
0x498da1cf9ca84215467cbef65acce0a874a15702,485
0xb16b8851a4ef8ab8ec7e7eb3c403f00443e7359e,474
