address,allocation
0x00003db5c4d04d45ca961cfbb600c609d8d12f41,45981
0x0024a5046fd95c5eee6db19a69ef7ed3bacd50f1,84
0x0033e8e597710aa62abeca3a766a30c125f79187,5
0x0035f5fa0aadaed083e5f4fb8fae40624772091c,58152
0x003aaafc2fd6ff51320d81d8cc341fd52f8f9c6f,40191
0x0045741732f8ee204123dc4ed19096dce367fcfb,40000
0x004b88eaf7e77811403ef00ec4cf5c279360c169,4
0x00539e4aa11e6632d5dd89c1f14b5a4da0a2ec67,50
0x00572f63eb435582e6b4a27e5b08d46e86f013d9,9
0x005c1796a8c12936fac7727c8fe3db862ff889af,8200
0x006e47a8994f50071bd39b8cfbab2b0010446371,5228
0x00778a211057c47a9f8885750bbf48226771bcdc,6
0x007bb059bcc5a177760b6066dff2c6d5d02c4518,31
0x007d6286d0cdd80930e8915ac7fe016d6a3a755e,10638293
0x0099e3ea4f7aa9505be2c1c94149116b9856208b,80
0x009cdd69d4aa8b5ca9fdb88c66dca4742cf17a2c,204000
0x00b0797ddce269106529b8964409c2ec610797f8,12142
0x00b3b24a35ecfe5a286124780133f1a75ce240a4,461
0x00b591bc2b682a0b30dd72bac9406bfa13e5d3cd,8960
0x00bae827ccdd9ff1081448777aa5b9facf2448e8,100000
0x00ca985a1585f900ee783765ca90ba8fd791616f,342
0x00cd9fad11d5b2118a3dd32d5d43fdb33bde9e85,1382251
0x00cdf17d70fc3e13618934bb4c5518fc504e73b3,15593234
0x00d2aba0a7959fda2b0db19e20ce00512695bc2f,38499
0x00d8017683f7b62c8c2aa7a2a9f81e7d805e586e,996
0x00e24ef403aecc033b82e37c21f16b8e0562960f,1
0x00e5c1eebb008deb88025aca85ca5df0efc7c41d,600
0x011dde4fcfc9b7ffc370ef15071bc055f7c560b1,3
0x01471242db33c4e3219b75599f90a3669d5c4588,2
0x0149d1083c39cbca0ea1246610980c08df623208,339
0x014efecef177f49b4d9593a7c368637183801d7a,96925
0x0178f2fc0e7bc063bfca0da6d8e8c23b770330c9,45981
0x0185ff070e9d493b50dc953d1ce84c332125e9fb,1
0x018adcd49ad610dad0dae03e3d217663c59af194,9
0x018d17105534d95160199014565918f437f4543e,704
0x01cb969ddc93a8d2d739d32d7871e73819c62c29,10000
